DateTime,CLOSE
2005-02-01,937.55
2005-02-02,987.942
2005-02-03,972.193
2005-02-04,992.605
2005-02-16,1000.771
2005-02-17,1001.128
2005-02-18,987.637
2005-02-21,1006.17
2005-02-22,1029.043
2005-02-23,1031.987
2005-02-24,1034.488
2005-02-25,1035.396
2005-02-28,1030.365
2005-03-01,1028.346
2005-03-02,1013.528
2005-03-03,1019.344
2005-03-04,1013.949
2005-03-07,1019.025
2005-03-08,1038.901
2005-03-09,1038.784
2005-03-10,1013.799
2005-03-11,1018.754
2005-03-14,1019.298
2005-03-15,1003.893
2005-03-16,993.925
2005-03-17,982.481
2005-03-18,965.946
2005-03-21,968.006
2005-03-22,946.215
2005-03-23,942.915
2005-03-24,950.122
2005-03-25,948.206
2005-03-28,943.827
2005-03-29,938.151
2005-03-30,916.088
2005-03-31,922.096
2005-04-01,955.985
2005-04-04,939.433
2005-04-05,932.209
2005-04-06,948.751
2005-04-07,961.072
2005-04-08,978.589
2005-04-11,973.075
2005-04-12,954.876
2005-04-13,977.373
2005-04-14,963.445
2005-04-15,946.919
2005-04-18,935.082
2005-04-19,936.694
2005-04-20,920.522
2005-04-21,909.624
2005-04-22,902.047
2005-04-25,889.918
2005-04-26,900.096
2005-04-27,887.98
2005-04-28,904.973
2005-04-29,894.518
2005-05-09,869.815
2005-05-10,872.162
2005-05-11,863.159
2005-05-12,851.456
2005-05-13,854.902
2005-05-16,845.455
2005-05-17,853.112
2005-05-18,856.269
2005-05-19,856.675
2005-05-20,853.736
2005-05-23,831.271
2005-05-24,840.028
2005-05-25,840.547
2005-05-26,829.978
2005-05-27,822.451
2005-05-30,828.845
2005-05-31,828.614
2005-06-01,811.21
2005-06-02,795.82
2005-06-03,794.355
2005-06-06,811.387
2005-06-07,811.105
2005-06-08,875.887
2005-06-09,882.529
2005-06-10,864.606
2005-06-13,863.214
2005-06-14,850.882
2005-06-15,832.145
2005-06-16,841.904
2005-06-17,841.001
2005-06-20,864.944
2005-06-21,855.841
2005-06-22,858.976
2005-06-23,850.749
2005-06-24,854.608
2005-06-27,873.376
2005-06-28,860.305
2005-06-29,855.782
2005-06-30,835.013
2005-07-01,811.078
2005-07-04,804.441
2005-07-05,798.465
2005-07-06,793.749
2005-07-07,796.39
2005-07-08,777.805
2005-07-11,771.143
2005-07-12,797.216
2005-07-13,791.079
2005-07-14,792.691
2005-07-15,780.149
2005-07-18,767.933
2005-07-19,771.548
2005-07-20,777.295
2005-07-21,776.729
2005-07-22,792.907
2005-07-25,790.801
2005-07-26,809.068
2005-07-27,825.133
2005-07-28,822.623
2005-07-29,819.927
2005-08-01,824.124
2005-08-02,836.389
2005-08-03,842.608
2005-08-04,837.464
2005-08-05,858.69
2005-08-08,865.498
2005-08-09,874.092
2005-08-10,882.309
2005-08-11,894.389
2005-08-12,879.532
2005-08-15,900.267
2005-08-16,894.786
2005-08-17,906.064
